,href,点赞用户数,评分,参与评分人数,热度,总计评论数,演员,信息,剧情
30,http://www.iqiyi.com/v_19rrfni04s.html,5.6万,8.7,159.1万人评分,2521,全部评论(2942),道恩·强森饰 Davis Okoye;杰弗里·迪恩·摩根饰 Agent Russell;玛琳·阿克曼饰 Claire Wyden,狂暴巨兽;导演： 布拉德·佩顿;地区： 美国;类型： 动作;首映： 2018,"简介：巨石强森饰演的灵长类动物学家一直与人类保持距离,却跟极为聪明的银背大猩猩乔治有着深厚的感情。但是一次基因实验出错,让这只温驯的大猩猩变成狂怒难驯的庞然巨兽。更可怕的是,其他动物也发生了同样基因异变。他必须阻止这场全球性的灾难,更重要是要拯救他的好友乔治。收起>"
31,http://www.iqiyi.com/v_19rwlu1d8g.html,2.5万,7.5,33.5万人评分,2656,全部评论(6267),王浩信饰 徐乐;郑则仕饰 牛叔;徐冬冬饰 白珍妮;云千千饰 阿贞;李子雄饰 龙探长,追龙番外之十亿探长;导演： 许悦铭;地区： 香港地区;类型： 枪战;首映： 2020,简介：在英国殖民统治下，六七十年代是香港最黑暗的时代。热血青年徐乐刚刚成为一名警察。当时，香港警察待遇不高，他们向商户们收取保护费的潜规则蔚然成风，徐乐不愿意同流合污，立身其正，因此受到同事们的排挤，也得罪了权倾一时的探长龙一飞，被贬去一个偏僻的分局。幸好在这里他遇到了生命中的两个贵人，牛探长跟白珍妮。牛探长资历颇深，对徐乐欣赏有加，悉心教导徐乐要如何在这乱世中生存。白珍妮...收起>
32,http://www.iqiyi.com/v_19rrmy6yhs.html,2440,6.7,1万人评分,2311,全部评论(107),张仲文;张冲,潘金莲;导演： 周诗禄;地区： 香港地区;类型： 动作;首映： 1964,"简介：潘金莲天生丽质，自小被卖作丫鬟，后被逼嫁丑汉武大郎为妻。大郎弟松天生神勇，以醉打白额虎扬名，莲见松高大英俊，竟向他大胆示爱，松严词拒绝，并为避嫌,远走他方。　　富商西门庆见莲貌美，收买淫媒王婆引莲入圈套。莲恼松不解温柔，毅然与庆通奸，庆为绝后患，接纳王奸计，毒杀大郎。松得悉兄长遇害，往杀奸夫淫妇，为兄报仇。　　改编自[明]施耐庵《水浒传》。彩色综艺体弧形阔银幕影片。收起>"
33,http://www.iqiyi.com/v_19rsb8pyfg.html,4.2万,7.2,64.1万人评分,2441,全部评论(5936),李成敏饰 AK女王;张梦露饰 付晓菲;张昊玥饰 沈越;袁伶嫣饰 王佳男;陈雨薇饰 大笑,横行霸道;导演： 刘笑 / 秦鹏飞;地区： 华语;类型： 枪战;首映： 2019,简介：沈越、付晓菲、王佳男、大笑四个在现实生活中各自遇到不同困境和心结的女孩子，为了实现每个人的目的和梦想，她们共同参与一场惊险刺激的大型游戏竞赛“逃出生天”而使四人聚到一起。起初四个女孩儿彼此陌生，从一开始跳伞阶段就意见不统一，导致落地便分道扬镳。中途因为王佳男、大笑、付晓菲三人被敌人所擒，之前脱队的沈越挺身而出疾速营救，使得四个女孩的感情得到了升华。在接下来的比赛过程中...收起>
34,http://www.iqiyi.com/v_19rrjbexzo.html,1.6万,8.0,28.8万人评分,3010,全部评论(6742),钟欣潼;陈伟霆;卫诗雅,前度;导演： 麦曦茵;地区： 香港地区;类型： 爱情;首映： 2010,简介：刚从外地回港的陈均平及其现任女友阿诗，在机场巧遇前女友周怡。周怡与旅行作家阿树正准备出发前往长途旅行，却发生争执闹到分手。为这次旅行而下定决心辞职、退掉公寓的周怡，一时无家可归，幸好有她念念不忘的陈均平和其女友阿诗收留。周怡前往二人的新居暂住，发现眼前追求物质生活的陈均平，早已不是曾经拥有梦想，一起共渡患难的陈均平。唯一不变的，是陈迁均平对分分合合的前女友，始终没有放...收起>
35,http://www.iqiyi.com/v_19rsho7kz8.html,15.6万,8.6,321.3万人评分,3537,全部评论(1.5万),张涵予饰 刘长健;欧豪饰 徐奕辰;杜江饰 梁栋;袁泉饰 毕男;张天爱饰 黄佳,中国机长;导演： 刘伟强;首映： 2019,简介：根据2018年5月14日四川航空3U8633航班机组成功处置特情真实事件改编。机组执行航班任务时，在万米高空突遇驾驶舱风挡玻璃爆裂脱落、座舱释压的极端罕见险情，生死关头，他们临危不乱、果断应对、正确处置，确保了机上全部人员的生命安全，创造了世界民航史上的奇迹。收起>
36,http://www.iqiyi.com/v_19rw96dz1s.html,1.3万,8.2,22.2万人评分,3058,全部评论(997),杨志刚饰 姜大为;顾靖饰 马艳,我来自北京之过年好;导演： 巨兴茂;地区： 华语;类型： 喜剧;首映： 2020,简介：本片是一部洋溢欢笑和喜庆的东北农村贺岁喜剧。讲述东北某贫困村——老烧锅村，前第一书记姜大为（杨志刚饰）帮扶最后五个“脱贫钉子户”的故事。姜大为带着北京某单位下拨的脱贫专项款，冒着大风雪重返曾经奋斗过的老烧锅村，亲自走访村里最后五户贫困户，挨家挨户吃年饭，了解每户的真实困境，有针对性地“对症下药”，让有着“尖、懒、馋、滑”陋习的村民认识到自身贫困的真正原因，通过搞科技...收起>
37,http://www.iqiyi.com/v_19rsje19ww.html,2.4万,6.2,55.7万人评分,2436,全部评论(2995),吴建国饰 老牛;王沛禄饰 老马;李璐兵饰 米三;姜萌轩饰 舒美,龙棺古墓2亡灵之花;导演： 赵聪;地区： 华语;类型： 悬疑;首映： 2019,简介：世间传言“亡灵之花”具有神奇功效，几乎可以满足人的一切愿望。老牛为了能在亡灵之花的最强幻境中与过世的家人相聚，雇佣老马一同寻找亡灵之花。舒美听闻亡灵之花有起死回生之效，决定找到亡灵之花治疗深陷重病的未婚夫米三。四人在寻花途中相聚于纸扎店，并在纸扎店主的蛊惑之下陷入亡灵幻境，幻境之中凶险异常，惊心动魄的诡异模特阵、阴森恐怖的乱坟岗、惊险万分的墓门玄关，诡谲离奇，九死一生...收起>
38,http://www.iqiyi.com/v_19rsjqm1zg.html,8.4万,8.2,270.9万人评分,2844,全部评论(4805),岳云鹏饰 闫大海;佟丽娅饰 杜卿;田雨饰 赵瀚青;袁弘饰 邢铁城;大鹏饰 枪神,鼠胆英雄;导演： 束焕 / 邵丹;类型： 喜剧;首映： 2019,简介：三十年代的上海滩，胆小如鼠的青龙帮小弟闫大海发现自己身患绝症之际，竟阴差阳错当上了警察。为了给梦中女神--飞乐门舞女杜卿挣赎身钱，他计划在自己生命中所剩不多的时间里因公殉职，从而拿到抚恤金拯救女神。然而，在他疯狂执行铲除“黑帮”、“毒枭”任务以身赴死期间，却总是事与愿违求死不得死，反而得到屡屡升迁。然而，纸醉金迷的上海滩，还隐藏着更大的危机…收起>
39,http://www.iqiyi.com/v_19rqybn92k.html,16.8万,8.5,210.2万人评分,3505,全部评论(1.4万),周冬雨饰 陈念;易烊千玺饰 小北,少年的你;导演： 曾国祥;地区： 华语;类型： 青春;首映： 2019,简介：陈念是一名即将参加高考的高三学生，同校女生胡晓蝶的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。一次偶然中，陈念邂逅了名为小北的小混混，随着时间的推移，心心相惜的两人之间产生了真挚的感情。小北答应陈念在暗中保护她免受魏莱的欺凌，没想到这一决定引发了...收起>
